lng,lat,viliage,ELEMID,date,level,vnum,inum
109.01981,34.671785,咸东社区,6100003767,20211222,1,3,0
108.939786,34.671785,新兴社区,6100003778,20211222,1,3,0
108.971866,34.671785,省委机关社区,#N/A,20211222,1,2,0
108.853073,34.671785,西纺社区,6100016289,20211222,1,2,0
109.231491,34.671785,荆塬社区,#N/A,20211222,1,2,0
109.229693,34.667722,铁路社区,6100015937,20211222,1,2,0
109.228996,34.667528,胜利街社�?6100017043,20211222,1,2,0,
109.241063,34.667358,前进东路社区,6100016969,20211222,1,2,0
109.234106,34.665866,公园街社�?6100017039,20211222,1,2,0,
109.224166,34.665689,延凤社区,6100017028,20211222,1,2,0
109.239112,34.66358,航苑社区,6100017038,20211222,1,2,0
109.228104,34.663453,文化路社�?6100017041,20211222,1,2,0,
109.223235,34.662073,凤凰东路社区,6100017046,20211222,1,2,0
109.25221,34.662049,福美社区,6100017044,20211222,1,2,0
109.231545,34.660722,科苑社区,6100017042,20211222,1,2,0
109.223802,34.660603,竹苑社区,6100016956,20211222,1,2,0
109.413489,34.660205,水寨村委�?#N/A,20211222,1,2,0,
109.204297,34.660157,皇冠社区,6100017031,20211222,1,2,0
109.217195,34.65983,迎宾社区,6100017029,20211222,1,2,0
109.217512,34.659814,凤凰街社�?6100017030,20211222,1,2,0,
109.227633,34.659177,佳苑社区,6100017045,20211222,1,2,0
109.238642,34.658657,润天花苑社区,6100017037,20211222,1,2,0
109.236391,34.658026,同飞社区,6100017036,20211222,1,2,0
109.230599,34.656177,兴飞社区,6100017035,20211222,1,2,0
109.237178,34.655139,凌云社区,6100016954,20211222,1,2,0
109.240899,34.653305,红旗社区,6100016436,20211222,1,2,0
109.220951,34.652098,航飞社区,6100017047,20211222,1,2,0
109.219209,34.648839,鸿飞社区,6100017033,20211222,1,2,0
109.214235,34.647854,蓝天路社�?6100017032,20211222,1,2,0,
109.146107,34.618289,徐杨社区,6100016186,20211222,1,2,0
109.386765,34.616081,相桥社区,6100016100,20211222,1,2,0
109.227852,34.585419,栎阳社区,6100016094,20211222,1,2,0
109.388403,34.556392,油槐社区,6100016003,20211222,1,2,0
109.296972,34.549632,交口社区,6100016108,20211222,1,2,0
109.183016,34.537655,新街社区,6100016093,20211222,1,2,0
109.090343,34.537223,城区社区,6100017134,20211222,1,3,0
109.100501,34.535866,鹿祥社区,6100017068,20211222,1,3,0
109.101351,34.526246,昭慧社区,6100017091,20211222,1,3,0
109.088809,34.526156,南新社区,6100004588,20211222,1,3,0
109.087224,34.524806,上林社区,6100017093,20211222,1,3,0
109.084794,34.517881,鹿苑社区,#N/A,20211222,1,3,0
109.327267,34.515248,何寨社区,6100016008,20211222,1,2,0
109.248276,34.511725,雨金社区,6100016136,20211222,1,2,0
109.021592,34.501005,崇皇社区,6100017094,20211222,1,3,0
108.986953,34.499656,陕汽路社�?6100017129,20211222,1,3,0,
109.001991,34.492375,姬家管委�?#N/A,20211222,1,3,0,
109.242886,34.490267,任留社区,6100016163,20211222,1,2,0
108.998151,34.489545,泾渭路社�?6100017122,20211222,1,3,0,
109.042774,34.478034,泾渭观澜社区,6100017092,20211222,1,3,0
109.367304,34.476395,零口社区,6100225061,20211222,1,2,0
109.013932,34.462936,泾环南路社区,6100017121,20211222,1,3,0
109.030605,34.462625,泾欣园社�?6100017052,20211222,1,3,0,
109.007748,34.461861,泾渭苑社�?#N/A,20211222,1,3,0,
109.18154,34.456239,北田社区,#N/A,20211222,1,2,0
108.984589,34.451573,泾渭西路社区,6100019439,20211222,1,3,0
109.017014,34.450515,泾渭东路社区,6100017120,20211222,1,3,0
108.997123,34.448111,龙凤园社�?#N/A,20211222,1,3,0,
108.987098,34.444294,泾渭中路社区,6100017123,20211222,1,3,0
109.274616,34.427737,老街社区,6100016026,20211222,1,2,0
109.28204,34.425872,铁路社区,6100015937,20211222,1,2,0
109.272736,34.421803,庆山路社�?6100016149,20211222,1,2,0,
108.984783,34.408429,长庆湖滨花园社区,6100016428,20211222,1,3,0
109.144104,34.405756,西泉社区,6100015985,20211222,1,2,0
109.39065,34.40462,马街社区,6100016147,20211222,1,2,0
109.017346,34.402942,西航花园社区,#N/A,20211222,1,2,0
109.205282,34.401849,行者社�?6100016184,20211222,1,2,0,
108.965697,34.398782,华山分厂社区,6100016244,20211222,1,3,0
109.297744,34.395358,代西社区,6100016092,20211222,1,2,0
109.301494,34.394994,陕鼓社区,6100015930,20211222,1,2,0
108.992956,34.394836,王家堡社�?6100016362,20211222,1,3,0,
108.992623,34.394037,新房社区,6100016358,20211222,1,3,0
109.305994,34.393837,代东社区,6100016179,20211222,1,2,0
108.98383,34.392979,景家堡社�?6100016415,20211222,1,3,0,
109.447079,34.392587,铁炉社区,6100015936,20211222,1,2,0
108.962878,34.392448,草一社区,6100016412,20211222,1,3,0
108.995451,34.390241,文家社区,6100016409,20211222,1,3,0
108.967795,34.390076,草滩社区,#N/A,20211222,1,3,0
108.979119,34.389508,长庆未央湖花园社�?6100016410,20211222,2,3,0,
108.972834,34.389347,草二社区,6100016414,20211222,1,3,0
109.212659,34.387722,火车站社�?6100016016,20211222,1,2,0,
109.239943,34.387446,秦陵新村社区,6100016148,20211222,1,2,0
109.213906,34.386277,西关社区,6100016091,20211222,1,2,0
108.989841,34.386117,小滩社区,6100016411,20211222,1,3,0
109.215229,34.384162,北关社区,6100016120,20211222,1,2,0
109.237689,34.383503,秦陵社区,6100016180,20211222,1,2,0
